x,y,alive
1,1,t
4,1,t
8,1,t
12,1,t
14,1,t
17,1,t
19,1,t
22,1,t
2,2,t
3,2,t
5,2,t
6,2,t
7,2,t
9,2,t
11,2,t
17,2,t
18,2,t
20,2,t
0,3,t
1,3,t
16,3,t
18,3,t
20,3,t
22,3,t
3,4,t
5,4,t
6,4,t
9,4,t
10,4,t
16,4,t
17,4,t
19,4,t
2,5,t
3,5,t
7,5,t
9,5,t
13,5,t
17,5,t
19,5,t
21,5,t
6,6,t
8,6,t
9,6,t
20,6,t
4,7,t
5,7,t
8,7,t
11,7,t
15,7,t
17,7,t
19,7,t
20,7,t
2,8,t
10,8,t
11,8,t
12,8,t
16,8,t
17,8,t
22,8,t
1,9,t
2,9,t
3,9,t
5,9,t
7,9,t
11,9,t
16,9,t
17,9,t
10,10,t
14,10,t
18,10,t
21,10,t
6,11,t
7,11,t
20,11,t
0,12,t
2,12,t
3,12,t
8,12,t
9,12,t
12,12,t
15,12,t
17,12,t
18,12,t
20,12,t
3,13,t
5,13,t
8,13,t
11,13,t
15,13,t
19,13,t
22,13,t
1,14,t
2,14,t
3,14,t
17,14,t
18,14,t
19,14,t
2,15,t
4,15,t
8,15,t
10,15,t
13,15,t
14,15,t
15,15,t
17,15,t
19,15,t
19,16,t
21,16,t
22,16,t
5,17,t
6,17,t
8,17,t
10,17,t
13,17,t
15,17,t
1,18,t
2,18,t
4,18,t
7,18,t
10,18,t
11,18,t
16,18,t
19,18,t
2,19,t
5,19,t
6,19,t
7,19,t
11,19,t
16,19,t
20,19,t
0,20,t
2,20,t
4,20,t
5,20,t
8,20,t
15,20,t
17,20,t
19,20,t
22,20,t
8,21,t
9,21,t
10,21,t
17,21,t
19,21,t
20,21,t
21,21,t
9,22,t
11,22,t
12,22,t
13,22,t
14,22,t
17,22,t
19,22,t
20,22,t
2,23,t
5,23,t
7,23,t
8,23,t
17,23,t
19,23,t
21,23,t
2,24,t
5,24,t
7,24,t
12,24,t
14,24,t
16,24,t
17,24,t
21,24,t
22,24,t
1,25,t
2,25,t
5,25,t
7,25,t
9,25,t
11,25,t
16,25,t
18,25,t
19,25,t
20,25,t
21,25,t
2,26,t
3,26,t
5,26,t
7,26,t
11,26,t
14,26,t
17,26,t
19,26,t
21,26,t
1,27,t
3,27,t
5,27,t
6,27,t
8,27,t
9,27,t
11,17,t
16,27,t
18,27,t
20,27,t
16,28,t
19,28,t
20,28,t
1,29,t
2,29,t
6,29,t
8,29,t
17,29,t
18,29,t
0,30,t
1,30,t
3,30,t
8,30,t
10,30,t
13,30,t
16,30,t
19,30,t
20,30,t
2,31,t
3,31,t
12,31,t
14,31,t
17,31,t
18,31,t
19,31,t
6,32,t
8,32,t
13,32,t
17,32,t
18,32,t
20,32,t
21,32,t
3,33,t
4,33,t
6,33,t
8,33,t
16,33,t
18,33,t
19,33,t
17,34,t
18,34,t
21,34,t
1,35,t
2,35,t
5,35,t
6,35,t
9,35,t
11,35,t
13,35,t
16,35,t
17,35,t
18,35,t
19,35,t
2,36,t
6,36,t
8,36,t
10,36,t
11,36,t
15,36,t
17,36,t
20,36,t
