x,y,alive
4,0,t
5,0,t
6,0,t
11,0,t
17,0,t
20,0,t
1,1,t
3,1,t
6,1,t
17,1,t
3,2,t
4,2,t
6,2,t
11,2,t
16,2,t
18,2,t
0,3,t
1,3,t
5,3,t
6,3,t
18,3,t
1,4,t
3,4,t
4,4,t
6,4,t
10,4,t
17,4,t
19,4,t
5,5,t
7,5,t
13,5,t
15,5,t
16,5,t
18,5,t
2,6,t
3,6,t
4,6,t
7,6,t
10,6,t
0,7,t
2,7,t
5,7,t
8,7,t
15,7,t
17,7,t
20,7,t
2,8,t
3,8,t
5,8,t
6,8,t
9,8,t
13,8,t
15,8,t
17,8,t
7,9,t
8,9,t
9,9,t
11,9,t
10,10,t
11,10,t
12,10,t
15,10,t
17,10,t
18,10,t
20,10,t
3,11,t
5,11,t
6,11,t
9,11,t
11,11,t
14,11,t
16,11,t
19,11,t
2,12,t
3,12,t
5,12,t
6,12,t
9,12,t
11,12,t
17,12,t
19,12,t
2,13,t
5,13,t
8,13,t
11,13,t
15,13,t
17,13,t
18,13,t
20,13,t
4,14,t
5,14,t
11,14,t
13,14,t
17,14,t
18,14,t
20,14,t
2,15,t
3,15,t
5,15,t
7,15,t
8,15,t
13,15,t
14,15,t
17,15,t
18,15,t
1,16,t
2,16,t
3,16,t
5,16,t
11,16,t
12,16,t
15,16,t
17,16,t
18,16,t
20,16,t
2,17,t
5,17,t
7,17,t
8,17,t
10,17,t
11,17,t
18,17,t
19,17,t
2,18,t
3,18,t
4,18,t
6,18,t
8,18,t
11,18,t
12,18,t
14,18,t
15,18,t
17,18,t
19,18,t
3,19,t
4,19,t
6,19,t
7,19,t
10,19,t
12,19,t
14,19,t
18,19,t
20,19,t
3,20,t
5,20,t
6,20,t
8,20,t
10,20,t
15,20,t
16,20,t
17,20,t
18,20,t
